<strong>Title</strong>,<strong>City Published</strong>,<strong>Country</strong>,<strong>Publisher</strong>,<strong>Date</strong>,<strong>Translation</strong>,<strong>Country Context</strong>,Transcr.,Translator,Digitised,Notes
De l'esprit des loix,Geneva,Geneva City State,Barrillot and Fils,1748,French,Swiss States and Associates,Y,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://gallica.bnf.fr/ark:/12148/btv1b8618461c"">Gallica BnF</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">First (princeps) edition published anonymously in Geneva by Barrillot & Fils</a>, overseen cautiously by Montesquieu amid censorship concerns."
De l'esprit des loix,Paris,France,Barillot and Fils [Durand],1748,French,France,,,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">Parisian reprint published in January 1749</a> under the address: ""In Geneva, at Barillot fils"" with corrections list (errata)"
De l'esprit des lois,Lyon,France,"Les Libraires Associés [Duplain, impr. Delaroche]",1749,French,France,,,,"Additional corrections are also among the errata printed in another in-4° <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">edition of 1749</a> which probably dates from March and bears the false address: ""A Leiden, Chez les Libraires associés"" (this is a Lyon edition printed by Aimé Delaroche for Pierre and Benoît Duplain)"
De l'esprit des lois,Geneva,Geneva City State,Barrillot and Fils,1749,French,Swiss States and Associates,,,,
De l'esprit des lois,Geneva,Geneva City State,Barrillot and Fils,1749,French,Swiss States and Associates,,,"Part 1–2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi11montgoog"">Internet Archive</a>","Montesquieu sent list of corrections to Geneva. Barrillot had been authorised by Vernet to prepare two reprints of the <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">1748 edition</a>, one in two volumes in-4°, the other in three volumes in-8°"
De l'esprit des lois,Geneva,Geneva City State,Barrillot and Fils,1749,French,Swiss States and Associates,,,"Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bub_gb_Gq8AqngDxVwC"">Internet Archive</a><br>Tome 2 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bub_gb_31tEwGSDc5sC"">Internet Archive</a>","Montesquieu sent list of corrections to Geneva. Barrillot had been authorised by Vernet to prepare two reprints of the <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">1748 edition</a>, one in two volumes in-4°, the other in three volumes in-8°"
De l'esprit des lois,Paris,France,Barrillot and Fils [Huart],1749,French,France,,,,"Parisian bookseller-printer Pierre-Michel Huart prints <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">edition</a>, two volumes in-4°, which includes a Table of contents and a map; it appeared in May 1749, under the false address: ""In Geneva, at Barrillot et fils""."
De l'esprit des lois,Paris,France,Barrillot and Fils [Huart],1749,French,France,,,,"Parisian bookseller-printer Pierre-Michel Huart prints <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">edition</a>, two volumes in-4°, which includes a Table of contents and a map; it appeared in May 1749, under the false address: ""In Geneva, at Barrillot et fils""."
De l'esprit des lois,London,England,Barrillot and Fils [Nourse],1749,French,Great Britain,,,,"London bookseller-printer John Nourse, who will publish in May or June a two-volume <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">edition</a> in-8°, which bear Barrillot's address."
De l'esprit des lois,Amsterdam,United Provinces,La Compagnie,1749,French,United Provinces,,,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">Two volumes in-4°</a>, which is based on the Barrillot in-8° edition of 1749 and bears on the title page the address: ""À Amsterdam, La Compagnie""."
De l'esprit des lois,Amsterdam,United Provinces,Chatelain,1749,French,United Provinces,,,"Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi00secogoog"">Internet Archive</a><br>Tome 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi00troigoog"">Internet Archive</a>","Printers seem to have had access to the list of corrections, which resulted in a <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">reprint</a> of the Huart edition of 1749 in three volumes in-8° published in Amsterdam by Chatelain."
De l'esprit des lois,Paris,France,Barillot and Fils [Durand],1749,French,France,,,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">An in-8° edition</a> in three volumes published under the address of Barillot; it is probably a new Parisian reprint published by Durand."
The Spirit of the Laws,London,England,Nourse and Vaillant,1750,English,Great Britain,Y,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://en.wikipedia.org/wiki/Thomas_Nugent_(travel_writer)"">Thomas Nugent (1700–1772)</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://https://link.gale.com/apps/doc/CW0124046306/ECCO?u=franche&sid=bookmark-ECCO&xid=75f26234&pg=445"">Gale digitised edition.</a><br>Vol. 1 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/spiritlaws02nugegoog"">Internet Archive</a><br>Vol. 2 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1750_2"">Internet Archive</a>",
Lo spirito delle leggi,Naples,Italian States,Simone,1750,Italian,Italian States,Y,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.finarte.it/asta/libri-autografi-e-stampe-roma-2024-07-04/charles-louis-de-secondat-montesquieu-spirito-delle-leggi-con-le-note-dell-abate-antonio-genovesi-124811"">Giuseppe Maria Mecatti</a>","Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.byterfly.eu/islandora/object/libria:144126#mode/2up""> byterfly.eu</a><br>Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.google.de/books/edition/Dello_spirito_delle_leggi_ovvero_del_rap/vgrw6Adf0oIC?hl=en&gbpv=1&dq=spirito+delle+leggi&printsec=frontcover"">  Google Books</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.finarte.it/asta/libri-autografi-e-stampe-roma-2024-07-04/charles-louis-de-secondat-montesquieu-spirito-delle-leggi-con-le-note-dell-abate-antonio-genovesi-124811"" title=""Finarte lot: notes on earlier Mecatti translation"">Earliest Italian translation</a>, begun by Giuseppe Maria Mecatti in Naples, partial and censored, printed by Giovanni di Simone."
De l'esprit des lois,Edinburgh,Scotland,Hamilton and Balfour,1750,French,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix-_montesquieu-charles-de-_1750_1"">Internet Archive</a><br>Vol. 2.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix-_montesquieu-charles-de-_1750_2"">Internet Archive</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">The Scottish edition</a>, in two volumes in-8°, dated 1750, will be published in November 1749, David Hume and a certain Mr. Alexandre having played the role of intermediaries between Montesquieu and the Hamilton publishing house and Balfour of Edinburgh."
